년도별 산불통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,log,log_scale,산,차선,최대차선,워드1,워드2,워드3,워드4,워드5,,,
2013,3,9,16:00,토,2013,3,9,23:00,경남,경남,합천,가야,이천,담,기타(직접입력),담뱃불실화,10,2.302585093,6.907755279,경남 합천군 가야면 이천리,1,-2,아스팔트,전신주,건물,논밭,개천,,,
2022,4,9,13:17,토,2022,4,9,17:50,충남,충남,청양,목,대평,소각,농산폐기물소각,영농부산물소각,9.93,2.295560478,6.900730664,충남 청양군 목면 대평리 232,1,-5,콘크리트,전신주,가설건축물,개천,초화류 관리X,,,
2020,3,26,12:27,목,2020,3,26,16:20,강원,강원,철원,갈말,문혜,입,기타(직접입력),입산자실화추정,9.85,2.287471455,6.892641641,강원 철원군 갈말읍 문혜리 산192,1,-4,콘크리트,전신주,논밭,건물,소나무,,,
2022,4,12,13:33,화,2022,4,14,18:00,경북,경북,고령,다산,송곡,화재,기타(직접입력),고물상화재전이,9.69,2.271094426,6.876264612,경북 고령군 다산면 송곡리,4,,아스팔트,가로등,논밭,가설건축물,건물,,,
2019,4,3,19:52,수,2019,4,4,8:00,경북,경북,포항 남,대송,장동,입,기타(직접입력),입산자 실화추정,9.6,2.261763098,6.866933284,경북 포항시 남구 대송면 장동리 산 50,1,,콘크리트,전신주,초화류 관리X,건물,수로,,,
2018,8,17,13:46,금,2018,8,17,18:20,강원,강원,춘천,동,월곡,입,기타(직접입력),입산자실화추정,9.4,2.240709689,6.845879875,강원 춘천시 동면 월곡리,1,-2,콘크리트,전신주,건물,가설건축물,소나무,,,
2022,2,22,14:37,화,2022,2,24,1:30,경북,경북,의성,의성,중리,기,기타(직접입력),전기목책지합선,9.2,2.219203484,6.82437367,경북 의성군 의성읍 중리리 산60-1,1,-2,콘크리트,전신주,목재,초화류 관리X,소나무,,,
2019,1,28,13:05,월,2019,1,28,16:05,부산,부산,기장,철마,웅천,쓰,기타(직접입력),쓰레기 소각에 의한 농막 소실,9.14,2.212660385,6.817830571,부산 기장군 철마면 웅천리 거문산,1,-2,콘크리트,전신주,축대,초화류 관리X,건물,,,
2022,2,26,16:39,토,2022,2,27,10:55,강원,강원,인제,기린,현,ash,기타(직접입력),화목난로재투기,8.69,2.162172939,6.767343125,강원 인제군 기린면 현리 738-3,2,,아스팔트,전신주,건물,논밭,개천,,,
2022,2,15,13:04,화,2022,2,15,22:30,경북,경북,성주,선남,관화,화재,주택화재비화,공장화재비화,8.53,2.143589362,6.748759547,경북 성주군 선남면 관화리 산33-15,1,,콘크리트,전신주,초화류 관리X,안전망,소나무,,,
2016,3,31,3:00,목,2016,3,31,18:30,북부,경기,양주,장흥,울대,방화,방화,방화 추정(국:3/사:5.3),8.3,2.116255515,6.721425701,경기 양주시 장흥면 울대리,1,-8,아스팔트,가로등,안전망,소나무,중앙분리대식재,,,
